ID,Username,Email,Contact,Role
A001,admin1,admin1@owsb.com,0136118945,Admin
A002,admin2,admin2@owsb.com,0112162453,Admin
A003,admin3,admin3@owsb.com,0112678470,Admin
A004,admin4,admin4@owsb.com,0171775425,Admin
A005,admin5,admin5@owsb.com,0134220460,Admin
SM001,salesmanager1,salesmanager1@owsb.com,0145057788,SalesManager
SM002,salesmanager2,salesmanager2@owsb.com,0129683896,SalesManager
SM003,salesmanager3,salesmanager3@owsb.com,0196365639,SalesManager
SM004,salesmanager4,salesmanager4@owsb.com,0159943837,SalesManager
SM005,salesmanager5,salesmanager5@owsb.com,0156491180,SalesManager
SM006,salesmanager6,salesmanager6@owsb.com,0133421471,SalesManager
SM007,salesmanager7,salesmanager7@owsb.com,0158861696,SalesManager
SM008,salesmanager8,salesmanager8@owsb.com,0133919399,SalesManager
SM009,salesmanager9,salesmanager9@owsb.com,0135780683,SalesManager
SM010,salesmanager10,salesmanager10@owsb.com,0186244610,SalesManager
PM001,purchasemanager1,purchasemanager1@owsb.com,0185975221,PurchaseManager
PM002,purchasemanager2,purchasemanager2@owsb.com,0174126998,PurchaseManager
PM003,purchasemanager3,purchasemanager3@owsb.com,0134910346,PurchaseManager
PM004,purchasemanager4,purchasemanager4@owsb.com,0174808292,PurchaseManager
PM005,purchasemanager5,purchasemanager5@owsb.com,0131385523,PurchaseManager
PM006,purchasemanager6,purchasemanager6@owsb.com,0134742256,PurchaseManager
PM007,purchasemanager7,purchasemanager7@owsb.com,0199031030,PurchaseManager
PM008,purchasemanager8,purchasemanager8@owsb.com,0116743268,PurchaseManager
PM009,purchasemanager9,purchasemanager9@owsb.com,0133514016,PurchaseManager
PM010,purchasemanager10,purchasemanager10@owsb.com,0186773671,PurchaseManager
IM001,inventorymanager1,inventorymanager1@owsb.com,0188064155,InventoryManager
IM002,inventorymanager2,inventorymanager2@owsb.com,0133100732,InventoryManager
IM003,inventorymanager3,inventorymanager3@owsb.com,0186149341,InventoryManager
IM004,inventorymanager4,inventorymanager4@owsb.com,0142631879,InventoryManager
IM005,inventorymanager5,inventorymanager5@owsb.com,0182485797,InventoryManager
IM006,inventorymanager6,inventorymanager6@owsb.com,0148655702,InventoryManager
IM007,inventorymanager7,inventorymanager7@owsb.com,0147386466,InventoryManager
IM008,inventorymanager8,inventorymanager8@owsb.com,0131610504,InventoryManager
IM009,inventorymanager9,inventorymanager9@owsb.com,0155004684,InventoryManager
IM010,inventorymanager10,inventorymanager10@owsb.com,0166961679,InventoryManager
FM001,financemanager1,financemanager1@owsb.com,0118835387,FinanceManager
FM002,financemanager2,financemanager2@owsb.com,0175701082,FinanceManager
FM003,financemanager3,financemanager3@owsb.com,0151414198,FinanceManager
FM004,financemanager4,financemanager4@owsb.com,0127876440,FinanceManager
FM005,financemanager5,financemanager5@owsb.com,0179149605,FinanceManager
